Net Status Report
Filename     : E:\SM2200-PCB2\Board.PcbDoc
Date         : 2015/12/6
Time         : 10:00:54
Time Elapsed : 00:00:00

Nets, Layer, Length
    1.8V1, Signal Layers Only, 1419.786mils
    1.8V2, Signal Layers Only, 1297.967mils
    1M0, Signal Layers Only, 2401.669mils
    1M1, Signal Layers Only, 578.579mils
    1M2, Signal Layers Only, 2162.734mils
    1M3, Signal Layers Only, 815.497mils
    2M0, Signal Layers Only, 2153.38mils
    2M1, Signal Layers Only, 583.985mils
    2M2, Signal Layers Only, 2161.297mils
    2M3, Signal Layers Only, 724.904mils
    3V3A1, Signal Layers Only, 3900.82mils
    3V3A2, Signal Layers Only, 4045.782mils
    3V3D1, Signal Layers Only, 2187.829mils
    3V3D2, Signal Layers Only, 3168.725mils
    ADC_IN, Signal Layers Only, 1268.97mils
    AFE_VCC, Signal Layers Only, 5862.192mils
    AGC_0, Signal Layers Only, 1459.209mils
    AGC_1, Signal Layers Only, 1262.754mils
    ANE1, Signal Layers Only, 893.422mils
    ANE2, Signal Layers Only, 1101.169mils
    BASE, Signal Layers Only, 1567.262mils
    BOOT0, Signal Layers Only, 627.673mils
    BOOT1, Signal Layers Only, 726.194mils
    BWSEL, Signal Layers Only, 702.864mils
    DAC_OUT, Signal Layers Only, 175.998mils
    DUP1, Signal Layers Only, 750.898mils
    DUP2, Signal Layers Only, 928.753mils
    GND, Signal Layers Only, 17765.202mils
    GND(AC), Signal Layers Only, 2893.813mils
    INT, Signal Layers Only, 1228.253mils
    INT1, Signal Layers Only, 1518.766mils
    INT2, Signal Layers Only, 1133.302mils
    MISO1, Signal Layers Only, 1288.89mils
    MISO2, Signal Layers Only, 1084.544mils
    MOSI1, Signal Layers Only, 1314.536mils
    MOSI2, Signal Layers Only, 1090.195mils
    NRST, Signal Layers Only, 2608.89mils
    NTRST, Signal Layers Only, 880.058mils
    NetC103_1, Signal Layers Only, 785.407mils
    NetC106_2, Signal Layers Only, 306.591mils
    NetC107_2, Signal Layers Only, 1164.393mils
    NetC118_1, Signal Layers Only, 764.964mils
    NetC118_2, Signal Layers Only, 122.594mils
    NetC119_1, Signal Layers Only, 88.414mils
    NetC119_2, Signal Layers Only, 192.122mils
    NetC121_1, Signal Layers Only, 217.371mils
    NetC122_1, Signal Layers Only, 169.523mils
    NetC13_2, Signal Layers Only, 529.149mils
    NetC15_2, Signal Layers Only, 264.728mils
    NetC16_2, Signal Layers Only, 707.571mils
    NetC23_1, Signal Layers Only, 373.457mils
    NetC23_2, Signal Layers Only, 581.383mils
    NetC24_1, Signal Layers Only, 644.561mils
    NetC25_1, Signal Layers Only, 818.513mils
    NetC25_2, Signal Layers Only, 734.523mils
    NetC26_1, Signal Layers Only, 764.629mils
    NetC27_1, Signal Layers Only, 174.647mils
    NetC62_1, Signal Layers Only, 421.139mils
    NetC64_1, Signal Layers Only, 358.135mils
    NetC75_1, Signal Layers Only, 420.131mils
    NetC82_1, Signal Layers Only, 358.552mils
    NetC85_1, Signal Layers Only, 1259.453mils
    NetC85_2, Signal Layers Only, 487.428mils
    NetC87_1, Signal Layers Only, 602.2mils
    NetC87_2, Signal Layers Only, 522.179mils
    NetC88_1, Signal Layers Only, 72mils
    NetC89_2, Signal Layers Only, 680.042mils
    NetC94_1, Signal Layers Only, 76mils
    NetC95_2, Signal Layers Only, 309.238mils
    NetC96_2, Signal Layers Only, 388.257mils
    NetC97_1, Signal Layers Only, 222.414mils
    NetD2_2, Signal Layers Only, 584.586mils
    NetD3_2, Signal Layers Only, 741.218mils
    NetD4_2, Signal Layers Only, 748.98mils
